,address1,address2,city,name,tel,url,zip,geometry
0,52 E 76th St,,New York,O'reilly William & Co Ltd,(212) 396-1822,http://www.nyc.com/arts__attractions/oreilly_william__co_ltd.806/whats_nearby.aspx,10021.0,POINT (-73.96273074561996 40.77380087163758)
1,19 Hudson St.,,New York,Organization of Independent Artists - Gallery 402,(212) 219-9213,http://www.nonprofitgallery.com/main/usa/ny/oia.html,10013.0,POINT (-74.0093857886298 40.71646850931738)
2,19 E 75th St,,New York,Owen Gallery,(212) 879-2415,http://www.owengallery.com/about-us,10021.0,POINT (-73.96435178145856 40.7740008522409)
3,511 W 25th St,,New York,P P O W Gallerie,(212) 647-1044,http://www.ppowgallery.com/,10001.0,POINT (-74.00389261044238 40.74958540084406)
4,476 Broome St,,New York,P P O W Inc,(212) 941-8642,http://www.nyc.com/arts__attractions/p_p_o_w_inc.260/whats_nearby.aspx,10013.0,POINT (-74.00176389614576 40.72290742771331)
5,150 1st Ave,,New York,P S 122 Gallery,(212) 228-4249,http://ps122gallery.org/,10009.0,POINT (-73.98437148002196 40.72816774159305)
6,44 W 18th St,,New York,Pace Editions,(212) 645-9806,http://www.ziplocal.com/companies/103327232-Pace-Editions,10011.0,POINT (-73.99437670706857 40.73920194963794)
7,32 E. 57th St.,9th Fl.,New York,Pace MacGill Gallery,(212) 759-7999,http://www.pacemacgill.com/exhibitions.html,10022.0,POINT (-73.97202174911459 40.76194965113893)
8,32 E. 57th St.,3rd Fl.,New York,Pace Prints & Primitive Gallery,(212) 421-3237,http://www.paceprints.com/,10022.0,POINT (-73.97211461855828 40.76183646853851)
9,534 W 25th St,,New York,Pace Wildenstein,(212) 929-7000,http://www.pacewildenstein.com/,10001.0,POINT (-74.00495117630976 40.7494482797747)
10,32 E 57th St,Fl 4,New York,Pace Wildenstein,(212) 421-3292,http://www.pacewildenstein.com/uploads/exhibitions/keith%20tyson_with%20images_new.pdf,10022.0,POINT (-73.97207691758459 40.76188607450113)
11,3163 Broadway,,New York,Paige's Art Gallery,(212) 531-1577,http://www.nyc.com/arts__attractions/paiges_art_gallery.1731/editorial_review.aspx,10027.0,POINT (-73.95927392718306 40.81500069960109)
12,1285 Sixth Ave.,,New York,PaineWebber Gallery,(212) 713-2885,http://www.tfaoi.com/aa/1aa/1aa458.htm,10019.0,POINT (-73.98058386642786 40.76118894257876)
13,3608 34th St,,Astoria,Paint Can Studios,(718) 937-7360,http://ny.serviceslisted.com/1655944-PaintCanStudios.htm,11106.0,POINT (-73.92794008275476 40.75515787129306)
14,1776 Broadway,,New York,Paley Barbara K,(212) 333-4747,http://www.nyc.com/arts__attractions/paley_barbara_k.796/map_location.aspx,10019.0,POINT (-73.98148007125768 40.76637001937273)
15,188 E 64th St,,New York,Pall William Inc,(212) 758-3340,http://local.botw.org/New_York/New_York/Pall_William_Inc/56447150.html,10021.0,POINT (-73.96481233836307 40.7645087386809)
16,40 E 94th St,,New York,Palmer Meredith Gallery,(212) 828-9100,http://www.artinfo.com/galleryguide/12649/1149/meredith-palmer-gallery-ltd/visit/,10128.0,POINT (-73.95482248967467 40.78563341564519)
17,212 E 70th St,,New York,Pandora Old Masters,(212) 628-1974,http://www.salondudessin.com/an/anpandora.html,10021.0,POINT (-73.9608164118453 40.76789235225353)
18,121 E 31st St,,New York,Pardo Sheenan Galleries Ltd,(646) 935-0837,http://web2.userinstinct.com/30816848-pardo-sheenan-galleries-ltd.htm,10016.0,POINT (-73.98156101599031 40.74489610149597)
19,193 Grand St,,Brooklyn,Parker's Box,(718) 388-2882,http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf,11211.0,POINT (-73.96044470820161 40.71430915826927)
20,2 W. 13th St.,,New York,Parsons Galleries,(212) 229-8987,http://www.parsonswest.com/,10011.0,POINT (-73.99478186201981 40.73539495311296)
21,150 W 28th St,,New York,Patricia Laligant Photographs,(212) 252-9922,http://www.patricialaligant.com/intro.htm,10001.0,POINT (-73.99282054710083 40.74676020721873)
22,220 W 19th St,,New York,Patrick's Gallery,(212) 741-7453,http://outalot.com/listings/318942-Patricks-Gallery,10011.0,POINT (-73.99851017182027 40.74186877711021)
23,293 10th Ave,,New York,Paul Kasmin Gallery,(212) 563-4474,http://www.paulkasmingallery.com/,10001.0,POINT (-74.00272285706035 40.75019275007833)
24,534 W. 21st St.,,New York,Paula Cooper Gallery,(212) 255-1105,http://www.paulacoopergallery.com/,10011.0,POINT (-74.0068977266516 40.74691990132535)
25,980 Madison Ave,,New York,Peck Ian Fine Paintings Ltd,(212) 396-2442,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D01E8-3048-28EB-92857B8592DAED09,10021.0,POINT (-73.96365012755631 40.77476053223472)
26,206 W 23rd St,Fl 4,New York,Peder Bonnier Inc,(646) 638-0878,http://web2.userinstinct.com/30816857-peder-bonnier-inc.htm,10011.0,POINT (-73.99623914232185 40.7440599458188)
27,511 W 25th St,,New York,Perimeter Gallery,(212) 675-1585,http://www.spoke.com/info/c633Fr3/PerimeterGalleryInc,10001.0,POINT (-74.00389939402838 40.74938125319496)
28,41 E 57th St,,New York,Perlow Rich Katharina Gallery Inc,(212) 644-7171,http://www.artnet.com/katharinarichperlow.html,10022.0,POINT (-73.97163996489826 40.76236540983018)
29,110 E 57th St,,New York,Peter L Villa Fine Art,(212) 371-1196,http://peterlvillafineart.com/,10022.0,POINT (-73.97029437215403 40.76116970056108)
30,200 E 58th St,Apt 20C,New York,Peter Rose Gallery,(212) 759-8173,http://peterrosegallery.com/,10022.0,POINT (-73.96690494675263 40.7605755468042)
31,24 E 78th St,,New York,Peters Gerald Gallery,(212) 628-9760,http://www.gpgallery.com/,10075.0,POINT (-73.96316937082618 40.7756635603692)
32,21415 41st Ave,,Bayside,Phoenix Design Ltd,(718) 423-3458,http://www.topix.net/yp/flushing-ny/2161581053-phoenix-design-ltd,11361.0,POINT (-73.77059062315153 40.76366854810639)
33,210 ELEVENTH AVENUE,SUITE 902,New York,Phoenix Gallery,(212) 226-8711,http://www.phoenix-gallery.com/phoenixgalleryfellowship2009.pdf,10001.0,POINT (-74.00599166531202 40.74977525181217)
34,55 Chrystie St,,New York,Phoneup,(212) 219-8287,http://www.nyc.com/arts__attractions/phoneup.642/map_location.aspx,10002.0,POINT (-73.9950260483218 40.71651671861807)
35,1023 Beach 20th St,,Far Rockaway,Photo & Art Gallery,(718) 471-7840,http://www.yelp.com/biz/photo-and-art-gallery-far-rockaway,11691.0,POINT (-73.75339446579802 40.60296210069956)
36,27 W 20th St,,New York,Photo Collection Gagliardi,(212) 229-1816,http://www.gagliardiphoto.com/contact.htm,10011.0,POINT (-73.99269646708568 40.7406376655353)
37,37 W 20th St,Lbby,New York,Photo District Gallery,(212) 807-8787,http://wap.outalot.com/listings/319183-Photo-District-Gallery,10011.0,POINT (-73.99310574442202 40.74080485280703)
38,981 2nd Ave,,New York,Phyllis Lucas Gallery Inc,(212) 755-1516,http://www.phyllislucasgallery.com/,10022.0,POINT (-73.96795085870986 40.75614508447523)
39,249 Smith Street,# 102,Brooklyn,Picture This Corporate Art,(718) 625-2722,http://www.ptcanyc.com/,11231.0,POINT (-73.99260350161633 40.68324193641588)
40,177 N 9th St,,Brooklyn,Pierogi 2000,(718) 599-2144,http://www.pierogi2000.com/,11211.0,POINT (-73.95578160004416 40.71875034597007)
41,816 Broadway,,New York,Place Des Vosges,(212) 995-2899,http://local.yahoo.com/info-11035506-place-des-vosges-manhattan,10003.0,POINT (-73.99094407977347 40.73276121745574)
42,102 Charles St,,New York,Plane Space,(917) 606-1268,http://www.artinfo.com/galleryguide/20261/6796/115454/plane-space-new-york/exhibition/gangbusters/,10014.0,POINT (-74.00518362849395 40.73439963410778)
43,5305 18th Ave,,Brooklyn,Plaster Palace,(718) 621-3175,http://www.merchantcircle.com/business/Plaster.Palace.718-621-3175,11204.0,POINT (-73.98315035383828 40.62575957274058)
44,15 W 55th St,,New York,Plaza Holding Inc,(212) 247-4744,http://m.nyc.com/arts__attractions/plaza_holding_inc.300/map_location.aspx,10019.0,POINT (-73.9757536168505 40.76215882059407)
45,15 W 55th St,,New York,Plaza Holding Inc,(212) 956-1900,http://www.nyc.com/arts__attractions/plaza_holding_inc.300/whats_nearby.aspx,10019.0,POINT (-73.97568005712148 40.76226036307528)
46,145 W 57th St,,New York,Plaza Watch & Jewelry Exchange,(212) 246-2000,http://local.botw.org/New_York/New_York/Plaza_Watch_and_Jewelry_Exchange/55631196.html,10019.0,POINT (-73.97867413980654 40.7652614379812)
47,530 W 25th St,,New York,Pleiades Gallery,(646) 230-0056,http://www.pleiadesgallery.com/index.html,10001.0,POINT (-74.004770690104 40.74937493397012)
48,555 W 25th St,,New York,Plum Blossom Gallery,(212) 719-7008,http://www.plumblossoms.com/,10001.0,POINT (-74.0053735768785 40.7501763280434)
49,7813 3rd Ave,,Brooklyn,Polizzi Fine Art,(718) 680-6777,http://www.polizzifineart.com/,11209.0,POINT (-74.02860202478092 40.62887622341221)
50,98 Greene St,,New York,Poller Leah,(212) 274-1704,http://www.sculpture.org/portfolio/sculptorPage.php?sculptor_id=1003310,10012.0,POINT (-73.99973975533851 40.72417671147656)
